# Time , Flux-Flux
4.2700e+03,-6.0958e-17
4.2800e+03,-4.9065e-17
4.2900e+03,-3.7864e-17
4.3000e+03,-2.7293e-17
4.3100e+03,-1.7307e-17
4.3200e+03,-7.8763e-18
4.3300e+03,1.0163e-18
4.3400e+03,9.3752e-18
4.3500e+03,1.7194e-17
4.3600e+03,2.4459e-17
4.3700e+03,3.1150e-17
4.3800e+03,3.7243e-17
4.3900e+03,4.2713e-17
4.4000e+03,4.7536e-17
4.4100e+03,5.1693e-17
4.4200e+03,5.5166e-17
4.4300e+03,5.7943e-17
4.4400e+03,6.0020e-17
4.4500e+03,6.1391e-17
4.4600e+03,6.2060e-17
4.4700e+03,6.2027e-17
4.4800e+03,6.1296e-17
4.4900e+03,5.9869e-17
4.5000e+03,5.7748e-17
4.5100e+03,5.4932e-17
4.5200e+03,5.1422e-17
4.5300e+03,4.7220e-17
4.5400e+03,4.2331e-17
4.5500e+03,3.6771e-17
4.5600e+03,3.0567e-17
4.5700e+03,2.3762e-17
4.5800e+03,1.6421e-17
4.5900e+03,8.6361e-18
4.6000e+03,5.3131e-19
4.6100e+03,-7.7354e-18
4.6200e+03,-1.5967e-17
4.6300e+03,-2.3926e-17
4.6400e+03,-3.1331e-17
4.6500e+03,-3.7860e-17
4.6600e+03,-4.3145e-17
4.6700e+03,-4.6782e-17
4.6800e+03,-4.8323e-17
4.6900e+03,-4.7289e-17
4.7000e+03,-4.3166e-17
4.7100e+03,-3.5412e-17
4.7200e+03,-2.3462e-17
4.7300e+03,-6.7297e-18
4.7400e+03,1.5389e-17
4.7500e+03,4.3513e-17
4.7600e+03,7.8270e-17
4.7700e+03,1.2030e-16
4.7800e+03,1.7024e-16
4.7900e+03,2.2875e-16
4.8000e+03,2.9647e-16
4.8100e+03,3.7402e-16
4.8200e+03,4.6204e-16
4.8300e+03,5.6111e-16
4.8400e+03,6.7176e-16
4.8500e+03,7.9449e-16
4.8600e+03,9.2968e-16
4.8700e+03,1.0776e-15
4.8800e+03,1.2384e-15
4.8900e+03,1.4120e-15
4.9000e+03,1.5981e-15
4.9100e+03,1.7963e-15
4.9200e+03,2.0057e-15
4.9300e+03,2.2253e-15
4.9400e+03,2.4537e-15
4.9500e+03,2.6891e-15
4.9600e+03,2.9296e-15
4.9700e+03,3.1729e-15
4.9800e+03,3.4163e-15
4.9900e+03,3.6572e-15
5.0000e+03,3.8926e-15
5.0100e+03,4.1195e-15
5.0200e+03,4.3350e-15
5.0300e+03,4.5362e-15
5.0400e+03,4.7204e-15
5.0500e+03,4.8854e-15
5.0600e+03,5.0292e-15
5.0700e+03,5.1503e-15
5.0800e+03,5.2476e-15
5.0900e+03,5.3209e-15
5.1000e+03,5.3702e-15
5.1100e+03,5.3964e-15
5.1200e+03,5.4007e-15
5.1300e+03,5.3849e-15
5.1400e+03,5.3511e-15
5.1500e+03,5.3021e-15
5.1600e+03,5.2403e-15
5.1700e+03,5.1686e-15
5.1800e+03,5.0898e-15
5.1900e+03,5.0064e-15
5.2000e+03,4.9207e-15
5.2100e+03,4.8345e-15
5.2200e+03,4.7492e-15
5.2300e+03,4.6657e-15
